student_id,3444_1,3444_2,3444_3,3444_4,3444_5,3445_1,3445_2,3445_3,3445_4,3445_5,3446_1,3446_2,3446_3,3446_4,3446_5,3447_1,3447_2,3447_3,3447_4,3447_5,3448_1,3448_2,3448_3,3448_4,3448_5,3449_1,3449_2,3449_3,3449_4,3449_5,3450_1,3450_2,3450_3,3450_4,3450_5,3451_1,3451_2,3451_3,3451_4,3451_5,3452_1,3452_2,3452_3,3452_4,3452_5,3453_1,3453_2,3453_3,3453_4,3453_5,3454_1,3454_2,3454_3,3454_4,3454_5,3455_1,3455_2,3455_3,3455_4,3455_5,3456_1,3456_2,3456_3,3456_4,3456_5,3457_1,3457_2,3457_3,3457_4,3457_5,3458_1,3458_2,3458_3,3458_4,3458_5,3459_1,3459_2,3459_3,3459_4,3459_5,3460_1,3460_2,3460_3,3460_4,3460_5,3461_1,3461_2,3461_3,3461_4,3461_5,3462_1,3462_2,3462_3,3462_4,3462_5,3463_1,3463_2,3463_3,3463_4,3463_5,3464_1,3464_2,3464_3,3464_4,3464_5,3465_1,3465_2,3465_3,3465_4,3465_5
I100008,,,,,,,,,,,,,-3.299408132,,,,,,,,0.915573538,-2.300480863,1.117315838,,,0.740325724,-1.710500605,,,,-0.256924995,-0.115334996,-0.550509676,,,0.783262828,0.327194624,0.888847149,,,,0.86340191,0.978980992,,,0.834278363,0.805915429,0.38205357,1.234539268,,0.744148954,-0.10303903,-0.499446599,0.508862285,,0.663238511,0.430167739,0.536790996,,,-5.628359964,-2.475482088,-0.699384722,,,-0.492034777,0.324176907,-0.322293021,,,0.851400568,-0.092390304,1.382406727,,,,-4.545422344,,,,,,,,,,,-3.602703453,,,,,,,,,,,,,,,,,,,,,,
I100067,,,0.546214278,,,,,0.760096231,0.143747015,,,0.961424665,0.027483731,0.306855594,,,,0.853112029,0.278343493,,,0.915401859,0.646244572,0.390267864,,,0.862105101,1.01976818,0.395325858,,,-0.115334996,0.18067098,0.794253333,,,,0.71738196,1.477069166,,,,0.197710274,1.604440964,,,0.957492155,0.564263399,0.482584069,-0.93036636,,1.107304868,0.968164139,0.64749774,0.344224675,,0.775511084,1.118108238,0.1499789,,,0.880362911,1.051300292,-0.142032011,,,1.247268873,0.913935465,0.520074787,-0.924931857,0.851400568,0.505990093,0.591771336,0.620209086,,,,0.302431232,1.109247759,,,,1.284093319,1.920334869,,,,0.922884221,,,,,1.035768813,,,,,,1.295707914,,,,-2.048367504,,,,,,,
I100268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.795898735,,,1.107304868,0.935712823,-0.489312996,-1.548764394,0.663238511,0.535272235,-0.337985047,0.615053479,0.009969481,0.567674882,0.181228536,,0.925158094,,0.879285111,1.247268873,1.064887547,0.489576605,,-2.549980908,1.10437049,0.27274302,,0.296890251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I100300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663238511,0.249273606,-0.132758996,0.065822548,,,-1.217040213,-0.898829851,-0.393135566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I100360,,-0.277274856,,,,,,0.318623542,-0.576108924,-0.412950982,0.166138987,,0.61431049,1.012210174,1.541490046,,0.418463552,0.179779854,0.31339102,0.622712014,,,0.596658123,0.755501074,,,,,,,,,0.625204292,1.305933696,1.326268922,,,,,,,,,,,0.147284721,0.351185249,0.87202958,0.301734084,,0.07902054,0.261195302,0.753883782,0.712252232,1.29071921,,0.775511084,,,,,,1.29506656,0.192772728,,0.879285111,0.554949898,1.721973079,,,0.851400568,0.638963515,0.257947504,,,,,1.22058064,1.109247759,,,0.407536145,1.284093319,0.829638148,0.967485725,,,,,,,,,,,,,0.752047356,1.050974858,,,,1.105011441,,,,,0.325905613,0.411360707,
I100361,,-0.277274856,,,,,,0.318623542,-0.576108924,-0.412950982,0.166138987,,0.61431049,1.012210174,1.541490046,,0.418463552,0.179779854,0.31339102,0.622712014,,,0.596658123,0.755501074,,,,,,,,,0.625204292,1.305933696,1.326268922,,,,,,,,,,,0.147284721,0.351185249,0.87202958,0.301734084,,0.07902054,0.261195302,0.753883782,0.712252232,1.29071921,,0.775511084,,,,,,1.29506656,0.192772728,,0.879285111,0.554949898,1.721973079,,,0.851400568,0.638963515,0.257947504,,,,,1.22058064,1.109247759,,,0.407536145,1.284093319,0.829638148,0.967485725,,,,,,,,,,,,,0.752047356,1.050974858,,,,1.105011441,,,,,0.325905613,0.411360707,
I100365,,,,,,,,,,,,,0.474149768,,-0.142419246,,,,,,,,,0.867880524,-0.88917191,,,,,,,,,,-1.189159538,,,,,,,,,,,0.834278363,0.957492155,1.215012786,-0.169110437,,,-0.22407342,-0.711191432,-0.382365644,-0.412970952,0.663238511,0.775511084,1.252516849,0.290239488,,0.567674882,,1.29506656,0.192772728,,,1.247268873,1.147023239,0.721362791,,,,0.679619713,,,,,,,,,,,-1.855153781,0.176660877,,,,,,,,,0.606347884,,,,,1.295707914,,,0.354611824,,,,,,,,
I100608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22058064,,,,0.989389318,1.284093319,,,,0.934582658,,,,,,,,,,,0.14383835,,,,0.989583051,,-1.950931982,,,,-2.985228939,,
I100650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775511084,,,,0.567674882,,,,,,,,,,0.851400568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I100651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775511084,,,,0.567674882,,,,,,,,,,0.851400568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I100652,0.155059632,,1.042194778,,,,,1.055405665,1.423490908,,,0.961424665,0.405539624,1.527957443,0.712622778,,0.93864991,1.015116763,-0.013719235,,,0.915401859,0.70512848,-1.161973282,-1.037547886,0.740325724,0.862105101,0.383583342,1.34819148,,0.88444448,1.140366981,1.077401973,-0.740787756,0.933233225,0.783262828,0.838156361,0.888847149,-0.202456288,,0.917436139,0.86340191,,,,0.834278363,0.372839067,0.671778515,0.702853773,,0.744148954,0.819439292,1.224110804,0.228762079,0.722822489,0.663238511,-0.028197064,1.252516849,0.800277987,,0.567674882,-0.517905838,1.29506656,0.661499362,,0.879285111,0.653852609,0.158109512,0.67104079,,0.754907476,1.10437049,0.424060798,0.319508358,,,,1.22058064,1.109247759,,0.269825833,-0.828901848,-1.161675093,-0.71372698,-0.835334727,,,0.922884221,0.929280315,,,,1.035768813,1.231859042,,,,,1.295707914,,,,1.455386879,-0.294006712,,,,-0.2790132,,
I100762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775511084,-0.337985047,-0.831845211,,,,-0.167531047,0.661499362,1.417447224,,,0.188773504,0.059987921,-0.431606563,,-3.08429229,0.679619713,1.310051931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1008,,,,,,,,,,,,,,,-0.296801834,,,,,,,,,,,0.12945173,,,,,,,,,,,,,,,,,,,,,,,,,,0.623167309,,,,,,,,,0.49302386,,,,,,,-0.383867301,,,,,,,,,,,,,,,,-0.662894208,-0.582103504,,,,,,,,,,,,,,,,,,,,,,,0.287404048,,
I100827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663238511,0.775511084,,,,,,1.29506656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
