,id,academy_id,school_type,grade,status
0,I0,D0000,3,3,1
2,I10,D0000,3,3,1
3,I100,D0014,3,3,0
4,I1000,D0059,3,3,0
5,I10000,D0562,3,3,0
6,I100000,D1539,3,3,1
8,I100002,D1144,3,3,1
10,I100004,D4278,3,3,2
12,I100006,D4278,3,3,2
14,I100008,D2343,3,3,2
15,I100009,D4660,3,3,0
16,I10001,D0562,3,3,0
17,I100010,D2120,3,3,1
23,I100016,D1283,3,3,2
27,I10002,D0562,3,3,0
35,I100027,D1144,3,3,1
36,I100028,D4437,3,3,0
38,I10003,D0562,3,3,0
45,I100036,D4278,3,3,2
49,I10004,D0562,3,3,0
51,I100041,D4712,3,3,1
52,I100042,D4712,3,3,1
53,I100043,D4712,3,3,1
54,I100044,D4712,3,3,1
55,I100045,D4712,3,3,1
56,I100046,D4712,3,3,1
60,I10005,D0562,3,3,0
70,I100059,D4017,3,3,1
71,I10006,D0562,3,3,0
73,I100061,D0309,3,3,1
74,I100062,D1587,3,3,1
75,I100063,D1587,3,3,1
79,I100067,D3077,3,3,1
81,I100069,D0866,3,3,2
82,I10007,D0562,3,3,0
84,I100071,D4461,3,3,0
88,I100075,D0820,3,3,1
91,I100078,D3422,3,3,2
93,I10008,D0562,3,3,0
95,I100081,D0040,3,3,1
97,I100083,D3809,3,3,0
100,I100086,D4620,3,3,0
101,I100087,D2033,3,3,2
103,I100089,D4620,3,3,0
104,I10009,D0562,3,3,0
105,I100090,D4620,3,3,0
107,I100092,D1066,3,3,1
108,I100093,D1066,3,3,1
109,I100094,D1066,3,3,1
110,I100095,D1066,3,3,1
111,I100096,D4571,3,3,1
115,I1001,D0059,3,3,0
116,I10010,D0562,3,3,0
119,I100102,D4410,3,3,1
127,I10011,D0562,3,3,0
131,I100113,D4602,3,3,1
135,I100117,D4602,3,3,1
138,I10012,D0562,3,3,0
149,I10013,D0490,3,3,1
166,I100145,D4661,3,3,1
168,I100147,D4220,3,3,2
169,I100148,D2475,3,3,1
173,I100151,D2220,3,3,2
174,I100152,D1496,3,3,2
175,I100153,D1496,3,3,2
179,I100157,D1178,3,3,1
180,I100158,D2057,3,3,0
181,I100159,D0490,3,3,1
183,I100160,D0490,3,3,1
184,I100161,D0490,3,3,1
186,I100163,D4120,3,3,2
191,I100168,D2794,3,3,1
194,I100170,D4695,3,3,2
196,I100172,D4170,3,3,2
198,I100174,D0360,3,3,1
200,I100176,D4698,3,3,0
201,I100177,D4698,3,3,0
202,I100178,D4698,3,3,0
203,I100179,D4698,3,3,0
204,I10018,D0512,3,3,1
205,I100180,D4698,3,3,0
206,I100181,D4698,3,3,0
207,I100182,D4698,3,3,0
208,I100183,D4698,3,3,0
209,I100184,D4698,3,3,0
210,I100185,D4698,3,3,0
211,I100186,D4698,3,3,0
